comment_text,comment_author,comment_author_url,comment_author_image,comment_published_at,comment_published_at_unix,comment_like_count,comment_id,comment_parent_id,comment_sentiment
Timestamps:0:00 - Understanding Alex0:38 - My Mentor1:19 - Old Business2:34 - New Tech3:50 - Alex Hormozis Radical Ideas4:32 - How Alex Learned Business5:49 - My Takeaway7:29 - Closing Remarks,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-17T23:50:57Z,1679093457,48,Ugzm-RID8Q5XxFVRVrh4AaABAg,Ugzm-RID8Q5XxFVRVrh4AaABAg,0
Hey great job on the video. I left a thoughtful comment please find it! It’s long and thorough.,SMC - JDunamis,http://www.youtube.com/channel/UCgsEHW4qJg_NYA6rFHHasXw,https://yt3.ggpht.com/TUULnzH8SkNGON1jcTzTia_H_nSqu2RKr_991TJcYmIBXUn5umd1Ul-dMmhgbQWkh5fdIHti2PM=s48-c-k-c0x00ffffff-no-rj,2023-03-25T18:21:02Z,1679764862,0,Ugzm-RID8Q5XxFVRVrh4AaABAg.9nNg_e72Vmb9nghBQgQ0X9,Ugzm-RID8Q5XxFVRVrh4AaABAg,0
Well played on name dropping and delivering quality. and I love the stash,Howe Equipment,http://www.youtube.com/channel/UCxBVVGqifoPQlq0YE-L-gxg,https://yt3.ggpht.com/z2BM4U6CE9jjhHjChoY21tWyzlbac5Jpyo38VaxNCzHFpYwDF8piQGHRbcvIyEh3d7N3FQ-g8A=s48-c-k-c0x00ffffff-no-rj,2023-03-25T18:09:17Z,1679764157,0,Ugzm-RID8Q5XxFVRVrh4AaABAg.9nNg_e72Vmb9ngfqH22_u7,Ugzm-RID8Q5XxFVRVrh4AaABAg,0
@JIU-JITSU HUSTLE Yo Thanks! I have been thinking about releasing some new content 🔥,CRYPTOGENIK,http://www.youtube.com/channel/UCmsvLIdEbCmiQpWm_p1ZKrw,https://yt3.ggpht.com/4T-BcklAZvuWHiFaXPP-uNAeAh99BeoUqDdXExWVNITCmwaUWZYnus0YLb6Z9U-_bf6PhginuA=s48-c-k-c0x00ffffff-no-rj,2023-03-25T08:39:50Z,1679729990,1,Ugzm-RID8Q5XxFVRVrh4AaABAg.9nNg_e72Vmb9nfefZvhSM6,Ugzm-RID8Q5XxFVRVrh4AaABAg,0
"​@CRYPTOGENIK Same, subbed to you as well!",JIU-JITSU HUSTLE,http://www.youtube.com/channel/UCTm_hcFyiktjpsSVVhAlwfQ,https://yt3.ggpht.com/jKoA8zh0xjHSQlE-MXyOCCiH9XpP1KknuQ9U_gjWnwNHDN54LpAA4e1twQ68M6u8DjAWoyBROg=s48-c-k-c0x00ffffff-no-rj,2023-03-25T08:00:31Z,1679727631,1,Ugzm-RID8Q5XxFVRVrh4AaABAg.9nNg_e72Vmb9nfaAe-Eoy4,Ugzm-RID8Q5XxFVRVrh4AaABAg,0
"Subbed - Nice video and great thoughts on the subject! I find Alex interesting as well, hes always surprisingly thoughtful and careful with his words.",CRYPTOGENIK,http://www.youtube.com/channel/UCmsvLIdEbCmiQpWm_p1ZKrw,https://yt3.ggpht.com/4T-BcklAZvuWHiFaXPP-uNAeAh99BeoUqDdXExWVNITCmwaUWZYnus0YLb6Z9U-_bf6PhginuA=s48-c-k-c0x00ffffff-no-rj,2023-03-23T19:14:26Z,1679595266,1,Ugzm-RID8Q5XxFVRVrh4AaABAg.9nNg_e72Vmb9nbdhiWeSYh,Ugzm-RID8Q5XxFVRVrh4AaABAg,0
"Great video. As someone in sales, I have been studying Alexs content and just recently got his book. This point you make is excellent. Combining the new technology and methods of reaching people with the tried and true success of overdelivering for clients/business partners and building relationships with both clients/partners is a recipe for taking business to the next level",Dominique Wilson,http://www.youtube.com/channel/UC1PNFgaF81zoywVfAsFC08A,https://yt3.ggpht.com/ytc/AGIKgqOpzPMFXGH16rNZYWoL1b1XKS7FUZBPJA65MDGUag=s48-c-k-c0x00ffffff-no-rj,2023-03-18T16:00:32Z,1679151632,107,UgxI8MfWNYDP4dibqxp4AaABAg,UgxI8MfWNYDP4dibqxp4AaABAg,0
"I think Im in the same boat as you, people like Alex are genuinely helping people like us with his content. Its easy to say my goal is to help you get to 3mil but hes actually doing it. this can be our unfair advantage too Dominique, you and I are the early adopters of this mentality since its been forgotten for so long.",Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-18T17:58:47Z,1679158727,6,UgxI8MfWNYDP4dibqxp4AaABAg.9nPQY8RNz5j9nPd4IHoIRP,UgxI8MfWNYDP4dibqxp4AaABAg,0
This is a FANTASTIC video and Im floored that you only have 1k subscribers for now.Your ability to break down principals is really good. This is exactly the sort of thing people are looking for in this space.,Mitch Hurd,http://www.youtube.com/channel/UCWrg19sBL6k0iBOhrJK1gWA,https://yt3.ggpht.com/ytc/AGIKgqOZ_OharC0UccYcHjvPt4DU5jfTm-A9ZB1qmQ=s48-c-k-c0x00ffffff-no-rj,2023-03-25T00:47:40Z,1679701660,29,UgwIOauKcio1PqhhZ_d4AaABAg,UgwIOauKcio1PqhhZ_d4AaABAg,0
Thanks Mitch! Glad you liked it. More to come.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-25T11:51:33Z,1679741493,4,UgwIOauKcio1PqhhZ_d4AaABAg.9neodH0WESC9ng-bhix7Ui,UgwIOauKcio1PqhhZ_d4AaABAg,0
